"OA_code","Local_Authority","White_British","Other_White","Indian","Pakistani","Bangladeshi","Chinese","African","Caribbean","Mixed","Other_groups","Total_OA_pop"
"E00063395","Blackburn with Darwen",107,9,11,13,0,1,1,1,11,1,155
"E00063398","Blackburn with Darwen",69,15,184,215,50,0,1,0,14,42,590
"E00063399","Blackburn with Darwen",38,8,109,194,0,2,0,0,9,7,367
"E00063400","Blackburn with Darwen",74,4,117,202,2,0,0,0,5,15,419
"E00063402","Blackburn with Darwen",143,9,49,89,0,0,4,0,7,23,324
"E00063403","Blackburn with Darwen",53,6,224,83,14,0,3,0,6,21,410
"E00063404","Blackburn with Darwen",114,16,102,125,7,0,4,3,12,22,405
"E00063405","Blackburn with Darwen",25,1,125,237,8,0,4,0,3,17,420
"E00063406","Blackburn with Darwen",13,14,114,251,0,0,0,0,7,7,406
"E00063407","Blackburn with Darwen",37,6,129,150,4,0,0,2,1,9,338
"E00063408","Blackburn with Darwen",29,6,126,99,6,0,4,0,1,20,291
"E00063409","Blackburn with Darwen",7,3,153,153,0,0,0,0,13,2,331
"E00063410","Blackburn with Darwen",8,13,230,116,0,0,1,0,9,9,386
"E00063411","Blackburn with Darwen",5,9,160,181,8,0,0,1,5,8,377
"E00063412","Blackburn with Darwen",71,16,119,117,2,2,2,1,15,9,354
"E00063413","Blackburn with Darwen",135,12,88,93,105,0,0,1,2,21,457
"E00063414","Blackburn with Darwen",91,12,109,71,18,0,0,0,7,22,330
"E00063415","Blackburn with Darwen",186,7,3,0,0,0,0,0,2,3,201
"E00063416","Blackburn with Darwen",115,4,35,50,0,0,6,0,3,7,220
"E00063417","Blackburn with Darwen",38,5,123,266,0,16,5,0,4,5,462
"E00063418","Blackburn with Darwen",69,16,75,123,0,0,2,0,18,5,308
"E00063419","Blackburn with Darwen",22,22,58,333,45,0,5,0,12,16,513
"E00063420","Blackburn with Darwen",19,6,97,275,56,0,1,0,5,36,495
"E00063421","Blackburn with Darwen",26,7,43,338,13,0,0,0,7,20,454
"E00063422","Blackburn with Darwen",16,18,118,367,11,0,4,1,11,33,579
"E00063423","Blackburn with Darwen",4,10,212,217,22,0,0,0,3,4,472
"E00063425","Blackburn with Darwen",57,5,98,157,8,4,0,0,9,16,354
"E00063426","Blackburn with Darwen",61,9,181,278,0,0,3,0,10,30,572
"E00063427","Blackburn with Darwen",6,4,208,162,34,0,3,0,0,17,434
