"OA_code","Local_Authority","NSSEC1_2","NSSEC5_7","OA_total"
"E00063395","Blackburn with Darwen",10,64,144
"E00063398","Blackburn with Darwen",69,125,426
"E00063399","Blackburn with Darwen",50,91,261
"E00063400","Blackburn with Darwen",33,92,286
"E00063402","Blackburn with Darwen",28,100,239
"E00063403","Blackburn with Darwen",80,81,324
"E00063404","Blackburn with Darwen",31,106,320
"E00063405","Blackburn with Darwen",25,89,308
"E00063406","Blackburn with Darwen",46,88,310
"E00063407","Blackburn with Darwen",25,86,273
"E00063408","Blackburn with Darwen",36,77,233
"E00063409","Blackburn with Darwen",36,70,257
"E00063410","Blackburn with Darwen",47,83,285
"E00063411","Blackburn with Darwen",43,63,268
"E00063412","Blackburn with Darwen",38,91,267
"E00063413","Blackburn with Darwen",22,111,351
"E00063414","Blackburn with Darwen",53,92,232
"E00063415","Blackburn with Darwen",24,114,200
"E00063416","Blackburn with Darwen",21,80,172
"E00063417","Blackburn with Darwen",44,118,333
"E00063418","Blackburn with Darwen",22,83,229
"E00063419","Blackburn with Darwen",46,103,340
"E00063420","Blackburn with Darwen",38,94,361
"E00063421","Blackburn with Darwen",44,105,339
"E00063422","Blackburn with Darwen",55,102,431
"E00063423","Blackburn with Darwen",38,119,335
"E00063425","Blackburn with Darwen",35,69,265
"E00063426","Blackburn with Darwen",66,125,424
"E00063427","Blackburn with Darwen",55,90,332
"E00063428","Blackburn with Darwen",73,125,463
"E00063429","Blackburn with Darwen",49,88,391
"E00063430","Blackburn with Darwen",37,92,267
"E00063431","Blackburn with Darwen",43,98,301
"E00063432","Blackburn with Darwen",51,122,371
"E00063433","Blackburn with Darwen",63,98,385
"E00063434","Blackburn with Darwen",37,97,398
"E00063435","Blackburn with Darwen",162,40,342
"E00063436","Blackburn with Darwen",133,49,315
"E00063437","Blackburn with Darwen",110,62,338
"E00063438","Blackburn with Darwen",142,48,309
"E00063439","Blackburn with Darwen",99,58,272
"E00063440","Blackburn with Darwen",82,47,234
"E00063441","Blackburn with Darwen",183,77,416
"E00063443","Blackburn with Darwen",95,59,253
"E00063444","Blackburn with Darwen",113,51,305
"E00063445","Blackburn with Darwen",98,52,247
"E00063446","Blackburn with Darwen",120,48,280
"E00063447","Blackburn with Darwen",87,67,303
"E00063448","Blackburn with Darwen",132,47,294
"E00063449","Blackburn with Darwen",98,80,303
"E00063450","Blackburn with Darwen",90,53,250
"E00063451","Blackburn with Darwen",84,77,307
"E00063452","Blackburn with Darwen",103,98,372
"E00063453","Blackburn with Darwen",58,103,356
"E00063454","Blackburn with Darwen",93,77,383
"E00063455","Blackburn with Darwen",48,92,330
"E00063456","Blackburn with Darwen",43,74,246
